crop,region,kebele,year,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,0.4912831955314314,0.4912831955314314,0.3874043543297147,97,,3.874043543297147,0.3328205939156779,0.888304947059064
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,0.4425242173693511,0.4425242173693511,0.37710236332014924,97,,3.3939212698813432,0.3301209063367837,0.5932762362906642
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,0.4449293234031813,0.4449293234031813,0.34152794212320126,65,,3.4152794212320123,0.2688601117142135,-0.42550504708674086
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,0.4259459322140873,0.4259459322140873,0.30905079209795505,81,209.0,3.0905079209795505,0.2773470663973744,-1.3555865907886937
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2024,0.4374468000504924,0.4374468000504924,0.3860675387107633,97,193.0,3.47460784839687,0.35607889106286295,0.8500211834421006
Safflower,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2025,0.4566616952789701,0.4566616952789701,0.38874991654744884,97,,3.4987492489270395,0.35276174703357743,0.9268391960200825
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2010,0.4938864307535646,0.4938864307535646,0.38721946942963514,97,,3.8721946942963514,0.35143973099716114,1.627509553370695
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2011,0.4465930728105908,0.4465930728105908,0.3136583085539716,81,,3.1365830855397157,0.24166282942973522,-0.46852993818513844
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2012,0.4472864536659879,0.4472864536659879,0.2971470649468206,97,,2.6743235845213853,0.24933711914460294,-0.938998569230585
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2013,0.4370198803462323,0.4370198803462323,0.34992080804480674,97,,3.499208080448067,0.28617997403258677,0.564727695198127
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2014,0.4238883426680244,0.4238883426680244,0.2775027085030551,97,,2.7750270850305507,0.2344352443991854,-1.4987415966948776
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,0.4538911736252548,0.4538911736252548,0.2928645226578412,81,,2.928645226578412,0.19989645264765782,-1.0610246174210292
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,0.4421982331975561,0.4421982331975561,0.37432573574338096,113,,3.368931621690429,0.3471119857433811,1.2601176487530839
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.3742988747454177,0.3742988747454177,0.2990052446537679,81,,2.9900524465376788,0.24620079887983706,-0.8860519055047043
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,0.4874854429735237,0.4874854429735237,0.32726112627291254,97,,3.2726112627291255,0.23091038951120155,-0.08093351099541485
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,0.5272670035641551,0.5272670035641551,0.3710501176171081,97,,3.710501176171081,0.2912015610997965,1.1667827302961962
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,0.4314073039714868,0.4314073039714868,0.36551791298936426,81,193.0,3.2896612169042783,0.30779962016293294,1.0091490111285686
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,0.4741775661914464,0.4741775661914464,0.31926245901222006,65,,3.1926245901222003,0.24215157688391042,-0.3088462064810668
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,0.4227382484725053,0.4227382484725053,0.29015357204684333,81,,2.9015357204684333,0.2442178793279024,-1.13826999354979
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2024,0.4709696995926683,0.4709696995926683,0.35209510805612143,97,,3.168855972505093,0.3100015728105907,0.6266818383350066
Safflower,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2025,0.3845474898167006,0.3845474898167006,0.3345385384136683,81,,3.010846845723015,0.29580854073319757,0.12642786098095415
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,0.5656554721030045,0.5656554721030045,0.4625987775699432,129,,5.0885865532693755,0.4095216832870486,1.6895519524381053
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,0.5877799955819238,0.5877799955819238,0.43120044897982607,145,,4.743204938778087,0.3344835742236809,0.3629748716225023
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.5979227657157283,0.5979227657157283,0.41911900377640326,129,,5.029428045316839,0.3057951956576622,-0.14746530241386002
